Title,Contents,Keyword
 인스타 소개 이모티콘   감성적이고 특이한 특수문자 모음  , 인스타 소개 이모티콘 모음 안녕하세요 혠이에요 지난번에 인스타그램 한 줄 소개에 쓰기 좋은 인스타 소개 이모티콘 모음 포스팅을 쓴 적이 있었죠이번엔 그것보다 더 길고 다양한 종류로 데려왔어요 특수문자를 이용해서 인스타그램 피드를 산뜻하게 바꿔봐요                                                                                                                                                                                        뮤직 플레이어 음악 모양의 이모티콘들 뮤직 플레이어 이모티콘은 인스타보다는 블로그나 유튜브처럼 띄어쓰기를 자유자재로 할 수 있는 곳에서 쓰는 게 더 좋은 것 같아요 인스타 한 줄 소개는 이모티콘을 넣으면 이모티콘이 자동으로 왼쪽으로 치우치더라고요  그래도 너무 예뻐서 여러 개 모아서 데려왔어요                                                                     감성적인 한 줄 인스타 소개 이모티콘 위의 특수문자들은인스타 한 줄 이모티콘으로 사용하기 좋아요 한 줄 이모티콘은 아래 링크에 더 많이 있습니다        음악        별로인 음악    이 폴더는 비어있습니다                                                         폴더 이모티콘과 그림 같은 특수문자 그림 같은 특수문자와 폴더 이모티콘이에요독특하면서도 깔끔하지 않나요  폴더 특수문자를 포함한 위 이모티콘들에는 자기만의 글자를 넣을 수도 있어서 좋은 것 같아요                                                                                                                                                                                                                                                                                                                                                                                                                                                감성적이고 커다란 아스키아트들 화려하고 커다란 인스타 소개 이모티콘을 찾고 있다면 위와 같은 아스키아트를 추천해요   , 이모티콘     인스타     소개     특수문자     폴더   
 노트북 컴퓨터 단색 배경화면 흰색 검은색 배경부터 귀여운 파스텔톤까지  , 컴퓨터 단색 배경화면 모음 안녕하세요 혠입니다 언제나 무난하게 사용할 수 있는 컴퓨터 단색 배경화면을 만들어 왔어요 저는 따뜻한 파스텔톤 색을 좋아해서이번엔 제 취향에 딱 맞는 색깔 몇 가지를 뽑아봤습니다마음에 드는 색이 있다면 배경화면으로 적용해 보세요그리고 아래쪽에 기본 중의 기본 심플한흰색과 검은색 배경도 있으니 참고하세요   파스텔톤이라면 절대 빠질 수 없는 분홍색   이 중에서 뭐가 제일 예쁜지 몰라서여러 개 넣어봤어요   요즘엔 쨍한 노란색보다는 이런 개나리색이 좀 더 좋네요   깔끔하고 차분해 보이는 색이에요   기본 배경 색인 흰색과 검은색도 있어요 컴퓨터 단색 배경화면 모음노란색 초록색 검은색 흰색 갈색 노트북 배경 공유 컴퓨터배경화면  노트북배경화면  단색배경화면 , 배경화면     컴퓨터     단색     기본     흰색   
 인스타 텀블러 감성 사진 프사 모음    , 안녕하세요 혠이에요 오늘도 인스타 텀블러 감성 사진을 보정해왔어요벌써  번째 글이라니  세상에 예쁜 사진들은 너무 너무 많은 것 같아요 저작권 문제가 해결된 사진들로 가져왔으나 혹시라도 본문 내 사진에 문제가 있다면 댓글로 알려주세요       잠깐 레모네이드 사진에 빠져서 엄청 모아댔네요같은 레모네이드인데 사진마다 느낌이 다르죠       괜히 아련해 보이는 커튼               저는 이렇게 햇빛이 잔잔하게 드는 카페 사진을 너무 좋아해요   갑자기 분위기 귀여움       왠지 모르게 괜히 감성적으로 보이는 것들     폴라로이드 갬성         인스타 텀블러 감성 사진 모음 사진 출처      인스타감성사진  텀블러감성사진  텀블러 인스타그램사진  감성사진  펙셀즈   감성적인사진  인스타텀블러감성사진 , 사진     감성     텀블러     인스타     문제   
 상업용으로 사용 가능한 상업적 무료 폰트 사이트 정리  , 안녕하새오 혠이에요 수익이 발생하거나 공공연한 곳에서 폰트를 써야 할 때 글씨체를 고르는 일은 정말 어려운 거 같아요저도 블로그에서 폰트를 사용해야 하는 일이 생기면조심스러워지기에 상업적 무료 폰트를 찾게 되는데요 그때그때 찾아서 사용하는 것이 불편해서라이선스 문제가 해결된 상업적 무료 폰트 사이트를이곳저곳 정리해서 모아봤습니다 문체부 안심 글꼴 파일   첫 번째로 소개드릴 상업적 무료 폰트는 문체부에서 배포한 안심 글꼴  종 모음집이에요 안심 글꼴은 저작권자가 이용자의 자유로운 글꼴 사용을 미리 허락한 글꼴로 온라인과 오프라인  재배포와 상업적 용도 사용 모두 가능하지만  영리목적으로 복제 및 배포하는 것은 별도 저작권자 허락이 필요합니다 허락 없이 글꼴 그대로 다시 판매하면 당연히 안 되겠죠   네이버 나눔 글꼴부터 배달의 민족까지 다양한 폰트들이 모아져 있는 안심 글꼴 파일 서비스  푸른전남체  완도청정바다체 등 각 지역에서 만든 폰트들도 많이 있어서 보는 재미가 쏠쏠합니다저도 유용하게 사용하고 있는데 종류가 너무 다양해서 늘 어떤 폰트를 사용할까 고민돼요      뿌리깊은 프로젝트   두 번째로 소개드릴 곳은 뿌리깊은 프로젝트예요   독특하고 예스러운 폰트를 찾는다면    폰트를 추천해요  뿌리깊은 프로젝트 폰트는 대체로 사극이 떠오르는 폰트들이 모여있고 저는 이 중에서 여씨향약언해 폰트를 좋아해서 블로그에서도 자주 사용해왔답니다 라이선스는 문서  서식  웹사이트  인쇄  광고물 영상    임베딩  끝이 없네요거의 모든 부분에서 사용 가능한 라이선스라서 안심하고 사용할 수 있어요     배달의 민족   다음은 이미 많은 사람들이 알고 있는 우아한 형제들  세 번째 소개드릴 곳은 배달의 민족 폰트예요위의 문체부 안심 글꼴 파일에도 배민 폰트가 있으나 몇몇 개가 빠져있어서 배민 사이트도 추가해요   한나체  주아체  도현체  연성체  기랑해랑체  그리고 을지로체가 있으며 개인 및 기업 사용자 등모든 사용자에게 폰트를 무료로 제공하고 있습니다자유로운 수정과 재배포까지 가능하지만 역시 글꼴 자체를 유료로 판매하는 것은 금지하고 있습니다     눈누 네 번째 사이트는 폰트 모음 사이트 눈누예요눈누도 이미 아는 사람은 다 아는 곳이죠여러 용도와 종류의 글씨체가 있기 때문에용도에 따라 골라 쓸 수 있어 편리해요   포장지  포장지에 해당 폰트 인쇄 가능 여부임베딩  내가 만든 콘텐츠에 포함 가능 여부  기업 로고 및 제품 로고 제작 가능 여부  완전하게 공개된 저작권이며유료 재배포 외 거의 모든 활동 가능 모든 폰트    본인이 사용할 폰트의 목적에 따라 체크를 한 뒤  화면에 나온 것들 중 마음에 드는 폰트를 골라 사용하세요   폰트를 다운로드하기 전에 직접 원하는 글씨를 사용해 볼 수 있는 게 눈누의 장점 중 하나예요마음에 드는 폰트가 있다면 폰트 이름을 눌러 다운로드하시면 됩니다 다만 눈누는 폰트 제작사가 아니고 대략적인 라이선스 안내만 해주는 곳이기에 정확한 라이선스가 필요하면 제작사 및 제작자에게 직접 문의를 하셔야 해요     마지막 사이트는  예요다폰트는 한글이 아닌 영어  특수문자  딩벳  등이 주로 모여있는 상업적 무료 폰트 사이트입니다그러나 모든 폰트를 상업용으로 사용한 것은 아니에요라이선스를 잘 확인하셔야 합니다 어떻게 이렇게   우선 카테고리에서 찾고 있거나 원하는 느낌을 누른 뒤 메뉴와 글씨체 아래에 있는 옵션 창을 주목해봅시다    이렇게 생긴 메뉴의 가장 오른쪽에 있는    을 눌러줄게요     에서    를 체크  그럼    도 동시에 체크됩니다 이후  을 누르면 상업적 사용이 가능한 폰트만 정렬돼요 이외에는 대부분 개인적으로만사용할 수 있는 것이므로 우리 모두 주의해요   이제 상업적 용도로 쓸 수 있는 폰트들이 주르륵 떠요사진 상의 폰트 외에도 다양한 종류  스타일의 폰트가 있으니 유용하게 사용합시다    , 폰트     사용     글꼴     상업     라이선스   
 감성적인 아이폰  배경화면 고화질  장  , 안녕하세요 혠입니다 아이폰  배경화면으로 설정해두면 따뜻하고 감성적인 분위기가 낭낭해지는 사진들을 데려왔어요해당 사진들은 아이폰      크기에 맞춰져 있으나타 기종도 크기 조절을 통해 자유롭게 사용 가능해요  덧붙여 저작권 문제가 해결된 사진들이지만 행여나 본문 내에 문제가 있는 사진이 있다면 댓글로 알려주시면 감사하겠습니다 유용하고 예쁘게 사용하세요    시작은 무난한 꽃으로 꽃 있는데 감성 없는 사진 찾기도 어려운 것 같아요   자연물과 풍경이 담긴 아이폰  배경화면   요즘은 왠지 이렇게 하얀색 사진에 자꾸 눈길이 가더라고요   감성하면 튤립  튤립 하면 감성   체리 너무 귀엽지 않나요   차가운 듯 따뜻한 듯 여러 분위기가 느껴지죠   핑크색과 베이지색 중간단계에 머물러 있는 듯한 분위기   작지만 포인트가 되는 꽃과 달   이때까지 본 배경화면 중 마음에 드는 아이폰  배경화면이 있으신가요  있다면 폰 켤 때마다 기분 좋아지도록배경화면으로 설정해 봅시다 사진 출처    , 사진     배경화면     아이폰     감성     분위기   
 귀여운 고양이 배경화면 모음  , 안녕하세요 혠입니다 고양이는 귀여운 모멘트가 참 많은 것 같아요잘 때  가만히 있을 때  숨을 때  숨 쉴 때  등등 상업적 무료 이미지 사이트인 펙셀즈를 돌아다니며제가 생각하는 귀여운 고양이들의 모습들로귀여운 고양이 배경화면을 만들어 봤어요전국 집사들 다 모여 본문 내 고양이 배경화면은아이폰      을 기준으로 만들었으며타 기종 핸드폰도 크기 조절하셔서 사용하실 수 있어요추가로  행여나 사진에 문제가 있다면 댓글로 알려주세요   발만 찍은 걸 보고 감탄하며 데려왔어요   무언가에 집중하면 귀여움이 두 배   작게 봐도 크게 봐도 귀여운 고양이님   갬성폭발   고양이도 자기가 귀엽다는 걸 알까요     고양이가 우주를 정복한다         아 귀여워   귀엽다   너무 귀여운데  아 귀여워   귀엽다   너무 귀여운데     이건 약간 일코 느낌 나는 냥이 사진들   위 사진들 중 마음에 드는 고양이 배경화면이 있나요 그렇다면 핸드폰 배경화면으로 설정해 봅시다 휴대폰을 켤 때마다 기분이 좋아질 거예요 귀여운 고양이 배경화면 모음사진 출처  , 고양이     배경화면     사진     핸드폰     혠입니   
 아이폰 감성 배경화면 고화질 모음  , 안녕하세요 혠입니다 아이폰 자연물 배경화면에 이어서 이번에는 고화질 아이폰 감성 배경화면으로 돌아왔어요상업적 무료 이미지를 이용했으나 만약 문제가 있는 사진이 있다면 댓글로 알려주세요 크기는 아이폰     에 맞춰져 있으며기타 아이폰도 크기를 맞춰 사용하실 수 있습니다   감성 사진 하면 어떤 게 가장 먼저 떠오르시나요 저는 꽃  방  책  카페 같은따뜻한 계열의 단어들이 떠오르더라고요  그중에서도 꽃과 책은 그 둘만이 만들어낼 수 있는 따뜻함이 있죠   주말 오전처럼 여유로운 느낌의 사진들도 빠질 수 없답니다   이렇게 신체의 일부만 나오는 것도 신비로운 효과를 더해주는 것 같아요   구도나 흐림 정도를 조절해서 만들어낸 사진도색다른 감성이 있는 것 같아요   은은한 무지갯빛이 담긴 아이폰 감성 배경화면   아지트처럼 아늑해 보이는 방들   여러분들은 어떤 사진이 가장 마음에 드시나요 아이폰 감성 배경화면 고화질사진 출처  , 아이폰     사진     감성     배경화면     고화질   
  팩트체크 빙고   모든 엠비티아이                        , 안녕하세요 혠입니다 얼마 전까지 유행한   팩트체크 빙고를 해봤는데재밌는 부분도 있고 시간 보내기도 좋아서 데려왔어요 여러분은  를 믿으시나요  자신의   팩트체크 빙고를 해봄으로써 맞는지 아닌지 한 번 알아봅시다   우선   검사로 나왔던 저의  는  이에요 주변 사람들은 제가  이 아닌 것 같다고 하던데요제가 생각하기에도 완벽한 인팁은 아닌 것 같아요때론 인프피 같기도 하구  사실 잘 모르겠심 사람의 종류는  개 보다 다양하니까요  제 빙고판은 보시다시피 빙고가 많진 않으나하면서 공감 되는 부분이 꽤 있었어요특히 최소 노력 최대 이익에서 제대로 뼈 맞아버렸네요저의 나쁜 성향 중 하나인 줄 알았는데 종특이었나봐요  팩트체크여러분도 킬링타임용으로 한 번 해보세요                                    팩트체크 출처    , 팩트     체크     빙고     부분     여러분   
 인스타 텀블러 감성 사진 프사 모음    , 안녕하세요 혠입니다 이번에는 새하얀 색감의 인스타 텀블러 감성 사진들을한 가득 데려왔어요  프사  배경 사진 등으로유용하게 사용하시길 바랍니다    사진 출처    인스타 텀블러 감성사진 모음저작권 문제가 해결 된 사진들이지만 혹여나 사진에 문제가 있다면 댓글로 알려주세요  수정하겠습니다 인스타감성사진  텀블러감성사진  텀블러  인스타그램사진  감성사진  프사  펙셀즈 감성적인사진  인스타텀블러감성사진 , 사진     감성     텀블러     인스타     프사   
 굿노트 글씨 연습 파일 공유  윤동주 시인의 별헤는밤으로 악필교정  , 안녕하세요 혠입니다 아이패드 굿노트 글씨 연습 및 악필교정을할 수 있는 속지를 직접 만들어봤어요 무료폰트 마포꽃섬   오성과 한음   여씨향약언해를사용하였으며  윤동주 시인의 별헤는밤을 써봄으로써 글씨체를 교정할 수 있습니다    저도 글씨체가 엉망이여서 늘 고민인데 글씨 연습을 통해 악필 탈출을 해보려 노력해야겠어요  글씨 위를 진한 색으로 따라 써주면 돼요   요래 요래 써주심 됩니다     첫 번째 굿노트 글씨 연습 속지 파일은옛스럽고도 정갈한 느낌이 나는 여씨향약언해예요글씨체가 두툼해서 악필 교정 연습이 처음이신 분들도 따라쓰기 편할 거예요   큼직하고 깔끔한 정석 글씨체 오성과 한음이에요자음이 타 폰트보다 큰 편이라서 손글씨로 오성과 한음처럼 쓴다면 귀여운 느낌도 날 것 같아요   얇고 필기체처럼 휘날리는 느낌이 나는 세 번째 글씨체  마포 꽃섬이에요이 글씨체는 악필 교정 하시는 분들뿐만 아니라 어른스러운 필기체를 연습하고 싶은 분들에게도 추천해요 , 글씨체     연습     글씨     악필     교정   
